"","X","household_key","BASKET_ID","DAY","PRODUCT_ID","QUANTITY","BASE_SPEND_AMT","LOY_CARD_DISC","COUPON_DISC","NET_SPEND_AMT","AGE_DESC","MARITAL_STATUS_CODE","INCOME_DESC","HOMEOWNER_DESC","HH_COMP_DESC","HOUSEHOLD_SIZE_DESC","KID_CATEGORY_DESC","DEPARTMENT","COMMODITY_DESC","SUB_COMMODITY_DESC","PRICE_PER_PRODUCT"
"219",219,197,34641741940,0,1075214,1,9.99,-1,0,8.99,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BATH TISSUES","TOILET TISSUE",9.99
"221",221,225,34641747511,0,840361,1,1.19,-0.2,0,0.99,NA,NA,NA,NA,NA,NA,NA,"GROCERY","EGGS","EGGS - LARGE",1.19
"228",228,957,34641748066,0,825249,1,0.59,0,0,0.59,NA,NA,NA,NA,NA,NA,NA,"GROCERY","VEGETABLES - SHELF STABLE","PEAS GREEN",0.59
"231",231,35,34641751505,0,833648,2,4.66,-0.66,0,4,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","TEA CAN WITH SWEETENER/SUGAR",2.33
"239",239,804,34641765571,0,835788,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FRZN MEAT/MEAT DINNERS","SS ECONOMY ENTREES/DINNERS ALL",1
"242",242,597,34641791778,0,849843,2,3.18,-0.6,0,2.58,"19-24","U","Under 15K","Unknown","1 Adult Kids","2","1","GROCERY","BAKED BREAD/BUNS/ROLLS","MAINSTREAM WHEAT/MULTIGRAIN BR",1.59
"258",258,178,34641795108,0,972312,2,4.36,-1.18,0,3.18,"25-34","A","25-34K","Homeowner","1 Adult Kids","5+","3+","GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL",2.18
"262",262,263,34641798947,0,928049,1,1.58,-0.29,0,1.29,"45-54","U","35-49K","Unknown","2 Adults No Kids","2","None/Unknown","GROCERY","BAKED SWEET GOODS","SNACK CAKE - MULTI PACK",1.58
"264",264,670,34641799642,0,12672966,1,8.99,0,0,8.99,"55-64","A","35-49K","Unknown","2 Adults Kids","3","1","GROCERY","DOMESTIC WINE","POPULAR 750ML WINES",8.99
"265",265,900,34641807301,0,890536,1,0.69,0,0,0.69,"35-44","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","WATER - CARBONATED/FLVRD DRINK","NON-CRBNTD DRNKING/MNERAL WATE",0.69
"266",266,984,34641807580,0,858537,1,3.49,0,0,3.49,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FRUIT - SHELF STABLE","BERRIES CND (BLUBLKRASP)",3.49
"270",270,943,34641808196,0,836445,1,12.99,-2,0,10.99,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","MEAT - MISC","WINGS (IQF)",12.99
"323",323,485,34641809383,0,839346,1,3.31,-0.72,0,2.59,"35-44","U","25-34K","Homeowner","Single Male","1","None/Unknown","GROCERY","COOKIES/CONES","GRAHAM CRACKERS",3.31
"324",324,84,34641811323,0,10356272,1,2.99,0,0,2.99,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BLEACH","SOIL & STAIN REMOVER",2.99
"325",325,656,34641815706,0,825006,1,2.99,0,0,2.99,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","APPLES","APPLES RED DELICIOUS (BULK&BAG",2.99
"414",414,527,34641820286,0,1046584,1,3.69,-0.7,0,2.99,"45-54","U","50-74K","Homeowner","Single Female","1","None/Unknown","GROCERY","CHEESE","NATURAL CHEESE EXACT WT SLICES",3.69
"420",420,511,34641830750,0,986912,1,1.71,0,0,1.71,NA,NA,NA,NA,NA,NA,NA,"DELI","PREPARED FOOD","PREP FD: SIDE DISHES (HOT)",1.71
"422",422,569,34641833301,0,833241,1,7.9,-2.51,0,5.39,"35-44","A","250K+","Homeowner","2 Adults Kids","3","1","GROCERY","ICE CREAM/MILK/SHERBTS","PREMIUM",7.9
"428",428,261,34641838066,0,912269,1,10.99,0,0,10.99,NA,NA,NA,NA,NA,NA,NA,"GROCERY","PET CARE SUPPLIES","COLLARS AND LEADS",10.99
"433",433,13,34641839324,0,823758,2,1.58,-0.2,0,1.38,"25-34","U","75-99K","Homeowner","2 Adults Kids","4","2","GROCERY","MARGARINES","MARGARINE  STICK",0.79
"467",467,125,34641839539,1,823704,2,10.16,-2.58,0,7.58,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","BREAKFAST SAUSAGE/SANDWICHES","ROLLS - PORK",5.08
"471",471,568,34641840404,0,952999,3,7.47,0,0,7.47,NA,NA,NA,NA,NA,NA,NA,"PASTRY","CAKES","CAKES: NOVELTIES",2.49
"475",475,803,34641850017,0,847344,2,2.98,0,0,2.98,"25-34","U","75-99K","Unknown","2 Adults No Kids","2","None/Unknown","GROCERY","SOUP","CONDENSED SOUP",1.49
"484",484,239,34641855614,0,857849,1,0.66,0,0,0.66,"45-54","U","50-74K","Renter","Unknown","1","None/Unknown","GROCERY","MARGARINES","MARGARINE  STICK",0.66
"495",495,470,34641857118,0,828427,1,0.24,0,0,0.24,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CAT FOOD","CANNED CAT FOOD (9 LIVES/FRISK",0.24
"519",519,898,34641857304,0,839630,1,3.88,-0.69,0,3.19,"55-64","A","125-149K","Homeowner","2 Adults No Kids","2","None/Unknown","PRODUCE","PROCESSED","DRESSINGS",3.88
"527",527,641,34641861629,0,970698,1,1.99,0,0,1.99,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","POPCORN","POPCORN - OTHER",1.99
"531",531,682,34641866350,0,1043590,1,2.05,-0.13,0,1.92,"65+","A","125-149K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","SHORTENING/OIL","VEGETABLE/SALAD OIL",2.05
"533",533,609,34641868232,0,836281,1,0.98,-0.19,0,0.79,"45-54","U","50-74K","Unknown","Unknown","1","None/Unknown","GROCERY","VEGETABLES - SHELF STABLE","CARROTS",0.98
"557",557,463,34641875973,0,1075755,2,3.98,0,0,3.98,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","VEGETABLES - ALL OTHERS","VEGETABLES ALL OTHER",1.99
"560",560,328,34641876874,0,856435,1,2.09,0,0,2.09,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CHEESE","CREAM CHEESE",2.09
"579",579,68,34641877565,0,1085604,1,1.59,-0.3,0,1.29,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK SNGL SRV BTL CARB (EX",1.59
"580",580,190,34641890122,0,975329,1,19.69,-2.7,0,16.99,NA,NA,NA,NA,NA,NA,NA,"GROCERY","DOG FOODS","DRY DOG FOOD SUPER PREM (ONE/N",19.69
"581",581,441,34641892201,0,829291,1,8.19,0,0,8.19,"45-54","B","50-74K","Homeowner","Single Female","1","None/Unknown","GROCERY","FROZEN PIZZA","SNACKS/APPETIZERS",8.19
"599",599,895,34641892369,0,828139,2,1.78,0,0,1.78,"45-54","U","150-174K","Unknown","Single Male","1","None/Unknown","GROCERY","SOFT DRINKS","MIXERS(CLUB SODA/SELTZERS)FLAV",0.89
"602",602,523,34641897797,0,843222,1,3.29,0,0,3.29,"65+","B","35-49K","Homeowner","Single Male","1","None/Unknown","GROCERY","FROZEN PIZZA","FRZN BREAKFAST ENTREES/SANDWIC",3.29
"609",609,83,34641915367,0,841309,1,2.69,0,0,2.69,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","CITRUS","LEMONS",2.69
"618",618,367,34641926162,0,822073,1,2.09,-0.2,0,1.89,"55-64","A","50-74K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","SPICES & EXTRACTS","CROUTONS SALAD TOPPERS BREAD",2.09
"640",640,396,34641926356,0,856788,1,1.96,0,0,1.96,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FRZN MEAT/MEAT DINNERS","FRZN SS PREMIUM ENTREES/DNRS/N",1.96
"657",657,712,34641930843,0,842140,1,3.91,-1.12,0,2.79,"65+","A","50-74K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","CHEESE","SHREDDED CHEESE",3.91
"668",668,941,34641932119,0,908846,2,0.66,0,0,0.66,"19-24","A","200-249K","Unknown","2 Adults No Kids","2","None/Unknown","PRODUCE","CITRUS","LIMES",0.33
"670",670,158,34641936135,0,851494,1,1.24,0,-0.35,0.89,"45-54","U","50-74K","Homeowner","Unknown","1","None/Unknown","GROCERY","CONDIMENTS/SAUCES","VINEGAR ALL-EXCEPT WINE/RIC",1.24
"673",673,828,34641936719,0,835864,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FRZN MEAT/MEAT DINNERS","SS ECONOMY ENTREES/DINNERS ALL",1
"679",679,975,34641942553,0,5569327,1,3.5,-0.75,0,2.75,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BAG SNACKS","TORTILLA/NACHO CHIPS",3.5
"681",681,906,34641944192,0,836445,1,12.99,-2,0,10.99,"55-64","A","Under 15K","Homeowner","Single Female","2","None/Unknown","MEAT-PCKGD","MEAT - MISC","WINGS (IQF)",12.99
"686",686,378,34641971240,0,1107553,1,1.59,-0.3,0,1.29,"55-64","A","50-74K","Homeowner","Single Female","2","None/Unknown","GROCERY","SOFT DRINKS","SFT DRNK SNGL SRV BTL CARB (EX",1.59
"687",687,113,34641971384,0,824758,1,5.39,-1.1,0,4.29,"35-44","A","125-149K","Homeowner","2 Adults Kids","4","2","GROCERY","COLD CEREAL","ALL FAMILY CEREAL",5.39
"709",709,636,34641986617,0,828278,2,2.78,0,0,2.78,NA,NA,NA,NA,NA,NA,NA,"GROCERY","VEGETABLES - SHELF STABLE","BEANS GREEN: FS/WHL/CUT",1.39
"729",729,19,34641996120,0,821930,1,2.78,-0.89,0,1.89,"35-44","B","15-24K","Unknown","Single Female","1","None/Unknown","GROCERY","CONDIMENTS/SAUCES","BBQ SAUCE",2.78
"768",768,1,34642001059,0,5577022,1,2.84,0,0,2.84,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O",2.84
"769",769,142,34642001138,0,997011,2,10.16,-2.58,0,7.58,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FRZN MEAT/MEAT DINNERS","FRZN BREADED PREPARED CHICK",5.08
"774",774,358,34642007796,0,910473,1,4.99,0,0,4.99,"35-44","U","50-74K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","BEERS/ALES","BEERALEMALT LIQUORS",4.99
"777",777,693,34642008786,0,862349,1,2.58,-0.79,0,1.79,"45-54","U","15-24K","Unknown","2 Adults No Kids","2","None/Unknown","GROCERY","FLUID MILK PRODUCTS","FLUID MILK WHITE ONLY",2.58
"779",779,901,34642015604,0,856284,3,20.94,-7.47,0,13.47,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","MEAT - MISC","DRUMS (IQF)",6.98
"819",819,815,34642016668,0,9833277,1,10.77,-2.96,0,7.81,NA,NA,NA,NA,NA,NA,NA,"MEAT","PORK","ENHANCED",10.77
"820",820,139,34642022339,0,1082185,1,1.05,0,0,1.05,"35-44","B","75-99K","Homeowner","Single Male","1","None/Unknown","PRODUCE","TROPICAL FRUIT","BANANAS",1.05
"822",822,692,34642022365,0,873887,1,1.63,0,0,1.63,"65+","U","35-49K","Homeowner","Single Female","1","None/Unknown","GROCERY","MARGARINES","MARGARINE: TUBS AND BOWLS",1.63
"830",830,909,34642030720,0,835278,1,7.9,-2.51,0,5.39,NA,NA,NA,NA,NA,NA,NA,"GROCERY","ICE CREAM/MILK/SHERBTS","PREMIUM",7.9
"849",849,49,34642037549,0,831808,6,5.28,-1.14,0,4.14,"35-44","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","DOG FOODS","CAN DOG FOOD (SKIPPY/PEDIGREE/",0.88
"856",856,25,34642037611,0,826249,2,3.4,-0.82,0,2.58,"35-44","U","50-74K","Unknown","Unknown","1","None/Unknown","GROCERY","BAKED BREAD/BUNS/ROLLS","HAMBURGER BUNS",1.7
"869",869,852,34642053665,0,878996,1,3.78,0,0,3.78,"25-34","U","35-49K","Unknown","2 Adults Kids","4","2","PRODUCE","GRAPES","GRAPES RED",3.78
"880",880,146,34642062501,0,885070,1,1.99,0,0,1.99,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","BREAKFAST SAUSAGE/SANDWICHES","PATTIES - RAW",1.99
"887",887,680,34642066776,0,873627,2,5.18,-1.2,0,3.98,"45-54","U","50-74K","Homeowner","Unknown","1","None/Unknown","GROCERY","BAKED BREAD/BUNS/ROLLS","MAINSTREAM WHITE BREAD",2.59
"891",891,300,34642067162,0,823990,3,16.54,0,0,16.54,"55-64","A","Under 15K","Unknown","Single Female","2","None/Unknown","MEAT","BEEF","CHOICE BEEF",5.51333333333333
"910",910,800,34642067601,0,923670,1,5.48,-1.49,0,3.99,"25-34","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","MEAT-PCKGD","BREAKFAST SAUSAGE/SANDWICHES","PATTIES - RAW",5.48
"923",923,445,34642070011,0,1126899,1,2.49,0,0,2.49,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FLUID MILK PRODUCTS","FLUID MILK WHITE ONLY",2.49
"924",924,875,34642070022,0,890610,4,14.32,-5.16,0,9.16,"25-34","U","25-34K","Unknown","2 Adults Kids","3","1","PASTRY","BREAKFAST SWEETS","SW GDS: SW ROLLS/DAN",3.58
"925",925,27,34642072692,0,887503,1,2.09,0,0,2.09,"45-54","U","25-34K","Probable Renter","Single Female","1","None/Unknown","MEAT","SMOKED MEATS","PORK-FULLY COOKED",2.09
"930",930,771,34642072694,0,870547,1,1.79,0,0,1.79,"45-54","U","50-74K","Homeowner","Unknown","1","None/Unknown","GROCERY","MARGARINES","MARGARINE: TUBS AND BOWLS",1.79
"934",934,212,34642077147,0,845622,1,2.78,-0.39,0,2.39,"35-44","U","Under 15K","Unknown","Single Female","1","None/Unknown","GROCERY","COCOA MIXES","MALTED MLK/SYRUP/PWDRS (EGGNOG",2.78
"962",962,936,34642094561,0,820582,1,4.09,-0.8,0,3.29,NA,NA,NA,NA,NA,NA,NA,"GROCERY","MARGARINES","MARGARINE: TUBS AND BOWLS",4.09
"978",978,221,34642097640,0,819978,1,4.89,0,0,4.89,"65+","U","15-24K","Unknown","Unknown","1","None/Unknown","DELI","CHEESES","CHEESE: PROCESSED BULK",4.89
"999",999,493,34642097681,0,931672,1,1.59,-0.3,0,1.29,"55-64","U","50-74K","Unknown","Unknown","1","None/Unknown","GROCERY","SOFT DRINKS","SFT DRNK SNGL SRV BTL CARB (EX",1.59
"1003",1003,933,34642098527,0,822407,2,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,"GROCERY","MEAT - SHELF STABLE","PASTA: CANNED",1
"1036",1036,998,34642105981,0,820895,1,1.39,0,0,1.39,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BAKED SWEET GOODS","SNACK CAKE - MULTI PACK",1.39
"1119",1119,275,34642110224,0,907128,2,5.96,-1.98,0,3.98,NA,NA,NA,NA,NA,NA,NA,"GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE CITRUS PNCH/OJ SUBS",2.98
"1126",1126,598,34642112178,0,1022827,2,7.18,-0.4,-1,5.78,"35-44","B","25-34K","Unknown","Single Female","1","None/Unknown","GROCERY","FD WRAPS/BAGS/TRSH BG","ALUMINUM FOIL",3.59
"1131",1131,863,34642114168,0,857849,1,0.56,0,0,0.56,"45-54","U","15-24K","Unknown","Unknown","1","None/Unknown","GROCERY","MARGARINES","MARGARINE  STICK",0.56
"1139",1139,857,34642115873,0,822178,1,3.08,-0.79,0,2.29,"65+","A","35-49K","Homeowner","1 Adult Kids","3","1","GROCERY","BAKED BREAD/BUNS/ROLLS","HOT DOG BUNS",3.08
"1169",1169,468,34642121816,0,850841,2,2.4,-0.4,0,2,NA,NA,NA,NA,NA,NA,NA,"GROCERY","ISOTONIC DRINKS","ISOTONIC DRINKS SINGLE SERVE",1.2
"1188",1188,674,34642125733,0,819304,3,5,0,0,5,NA,NA,NA,NA,NA,NA,NA,"GROCERY","PASTA SAUCE","MAINSTREAM",1.66666666666667
"1261",1261,742,34642127883,0,844165,1,2.18,-0.59,0,1.59,"35-44","A","15-24K","Renter","1 Adult Kids","4","2","GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL",2.18
"1272",1272,509,34642140408,0,951009,1,14.99,0,0,14.99,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","PROCESSED","JUICE",14.99
"1273",1273,294,34642141005,0,845208,1,1.99,0,0,1.99,"25-34","A","50-74K","Homeowner","2 Adults Kids","4","2","PRODUCE","ONIONS","ONIONS YELLOW (BULK&BAG)",1.99
"1281",1281,956,34642145262,0,1070820,1,2.38,0,0,2.38,"45-54","U","50-74K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","FLUID MILK PRODUCTS","FLUID MILK WHITE ONLY",2.38
"1282",1282,48,34642146468,0,826816,2,5.56,-0.78,0,4.78,"19-24","U","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","FRZN BREAKFAST FOODS","WAFFLES/PANCAKES/FRENCH TOAST",2.78
"1285",1285,624,34642148183,0,896369,1,2.58,-0.79,0,1.79,"45-54","U","50-74K","Unknown","Unknown","1","None/Unknown","GROCERY","PNT BTR/JELLY/JAMS","PEANUT BUTTER",2.58
"1307",1307,869,34642149927,0,973630,1,1.99,0,0,1.99,NA,NA,NA,NA,NA,NA,NA,"GROCERY","LAUNDRY DETERGENTS","LIQUID LAUNDRY DETERGENTS",1.99
"1315",1315,867,34642155731,0,849098,1,1.98,-0.49,0,1.49,"45-54","U","75-99K","Homeowner","Unknown","1","None/Unknown","GROCERY","YOGURT","YOGURT NOT MULTI-PACKS",1.98
"1321",1321,464,34642160528,0,844179,1,7.75,-2.1,0,5.65,"65+","A","50-74K","Homeowner","2 Adults No Kids","2","None/Unknown","MEAT","BEEF","PRIMAL",7.75
"1340",1340,630,34642161262,0,862349,8,21.6,-6.8,0,14.8,"35-44","A","35-49K","Homeowner","2 Adults Kids","3","1","GROCERY","FLUID MILK PRODUCTS","FLUID MILK WHITE ONLY",2.7
"1359",1359,805,34642162811,0,844165,4,8.72,-2.36,0,6.36,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL",2.18
"1368",1368,702,34642163195,0,822101,1,1.03,0,0,1.03,NA,NA,NA,NA,NA,NA,NA,"GROCERY","COOKIES/CONES","VANILLA WAFER/KIDS COOKIES",1.03
"1389",1389,575,34642171404,0,869728,2,8.18,-1.8,0,6.38,"35-44","U","50-74K","Unknown","Single Female","1","None/Unknown","GROCERY","MISC. DAIRY","MISC DAIRY REFIGERATED",4.09
"1395",1395,479,34642175171,0,906923,2,8.66,0,0,8.66,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","GRAPES","GRAPES WHITE",4.33
"1397",1397,36,34642176615,0,820301,1,4.59,0,0,4.59,NA,NA,NA,NA,NA,NA,NA,"GROCERY","WATER - CARBONATED/FLVRD DRINK","NON-CARB FLVRD DRNKNG/MNRL WAT",4.59
"1415",1415,903,34642176725,0,846988,1,5.29,0,0,5.29,"35-44","U","35-49K","Unknown","Single Male","1","None/Unknown","GROCERY","LIQUOR","COCKTAIL MIXES-FLUID:ADD LIQ",5.29
"1420",1420,622,34642182643,0,826249,2,3.4,-0.82,0,2.58,"35-44","U","15-24K","Unknown","Single Female","1","None/Unknown","GROCERY","BAKED BREAD/BUNS/ROLLS","HAMBURGER BUNS",1.7
"1429",1429,842,34642192540,0,844165,1,2.18,-0.59,0,1.59,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL",2.18
"1432",1432,738,34642194359,0,833025,1,1.1,-0.05,0,1.05,NA,NA,NA,NA,NA,NA,NA,"GROCERY","MILK BY-PRODUCTS","SOUR CREAMS",1.1
"1464",1464,200,34642209122,0,931672,1,1.59,-0.3,0,1.29,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK SNGL SRV BTL CARB (EX",1.59
"1465",1465,302,34642213012,0,892531,1,3.41,-0.11,0,3.3,"45-54","U","35-49K","Homeowner","2 Adults Kids","3","1","GROCERY","BAG SNACKS","TORTILLA/NACHO CHIPS",3.41
"1468",1468,116,34642213633,0,856772,1,1.58,-0.29,0,1.29,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BAKED SWEET GOODS","SNACK CAKE - MULTI PACK",1.58
"1472",1472,259,34642216095,0,832768,1,3.09,0,0,3.09,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CONVENIENT BRKFST/WHLSM SNACKS","GRANOLA BARS",3.09
"1478",1478,138,34642217111,0,832828,1,1.59,-0.3,0,1.29,NA,NA,NA,NA,NA,NA,NA,"GROCERY","DRY NOODLES/PASTA","NOODLES DRY",1.59
"1527",1527,685,34642218629,0,843259,1,2.69,0,0,2.69,"35-44","A","Under 15K","Unknown","Single Female","2","None/Unknown","GROCERY","MEAT - SHELF STABLE","BEEF STEW",2.69
"1533",1533,354,34642222034,0,849202,1,8.49,0,0,8.49,"25-34","A","35-49K","Homeowner","2 Adults Kids","5+","3+","GROCERY","BEERS/ALES","BEERALEMALT LIQUORS",8.49
"1536",1536,196,34642222489,0,829852,1,3.38,-0.69,0,2.69,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CHEESE","SHREDDED CHEESE",3.38
"1546",1546,718,34642241611,0,822499,1,2.08,-0.19,0,1.89,"45-54","A","25-34K","Homeowner","2 Adults Kids","5+","3+","NUTRITION","RICE CAKES","RICE CAKES",2.08
"1562",1562,143,34642243009,1,827047,1,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FRZN NOVELTIES/WTR ICE","STICKS/ENROBED",2
"1572",1572,761,34642248362,0,897125,1,2.76,-0.38,0,2.38,"25-34","A","125-149K","Homeowner","1 Adult Kids","5+","3+","GROCERY","CHEESE","GRATED CHEESE",2.76
