"","X.1","household_key","QUANTITY","BASE_SPEND_AMT","NET_SPEND_AMT","LOY_CARD_DISC","COUPON_DISC","GET_EGGS","WEEK","NEXT_EGGS","X","BASKET_ID","PRODUCT_ID","AGE_DESC","MARITAL_STATUS_CODE","INCOME_DESC","HOMEOWNER_DESC","HH_COMP_DESC","HOUSEHOLD_SIZE_DESC","KID_CATEGORY_DESC","DEPARTMENT","COMMODITY_DESC","SUB_COMMODITY_DESC"
"337",337,14,17,49,43.61,-5.39,0,1,28,0,5413,34749137987,818981,NA,NA,NA,NA,NA,NA,NA,"GROCERY","COLD CEREAL","ALL FAMILY CEREAL"
"365",365,15,0,0,0,0,0,0,28,0,3014,34642833235,910439,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FLUID MILK PRODUCTS","BUTTERMILK"
"393",393,16,0,0,0,0,0,0,28,0,33932,35573651151,923149,"45-54","B","50-74K","Homeowner","Single Female","1","None/Unknown","GROCERY","FRZN MEAT/MEAT DINNERS","FRZN SS PREMIUM ENTREES/DNRS/T"
"421",421,17,0,0,0,0,0,0,28,0,9713,34837355603,833351,"65+","B","Under 15K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","FRZN NOVELTIES/WTR ICE","WATER ICE"
"449",449,18,28,99.41,88.31,-10.1,-1,0,28,0,6817,34762118764,835278,"45-54","A","100-124K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","ICE CREAM/MILK/SHERBTS","PREMIUM"
"477",477,19,41,104.03,81.41,-22.62,0,1,28,0,729,34641996120,821930,"35-44","B","15-24K","Unknown","Single Female","1","None/Unknown","GROCERY","CONDIMENTS/SAUCES","BBQ SAUCE"
"505",505,20,19,46.36,41.73,-4.63,0,0,28,0,1742,34642422857,944454,"25-34","A","75-99K","Renter","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD DOUGH PRODUCTS","REFRIGERATED SPECILATY ROLLS"
"533",533,21,0,0,0,0,0,0,28,0,19356,35109166052,934697,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","TEA CAN WITH SWEETENER/SUGAR"
"561",561,22,20,35.49,32.63,-2.86,0,0,28,1,2357,34642601908,835482,"45-54","A","75-99K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","BAKING NEEDS","BAKING POWDER & SODA"
"589",589,23,0,0,0,0,0,0,28,1,12949,34851019269,893501,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL"
"617",617,24,5,18.03,15.45,-2.58,0,0,28,0,155286,40826725414,5592772,NA,NA,NA,NA,NA,NA,NA,"GROCERY","COOKIES/CONES","VANILLA WAFER/KIDS COOKIES"
"645",645,25,0,0,0,0,0,0,28,0,856,34642037611,826249,"35-44","U","50-74K","Unknown","Unknown","1","None/Unknown","GROCERY","BAKED BREAD/BUNS/ROLLS","HAMBURGER BUNS"
"673",673,26,0,0,0,0,0,0,28,0,8896,34812135070,823758,NA,NA,NA,NA,NA,NA,NA,"GROCERY","MARGARINES","MARGARINE  STICK"
"701",701,27,58,74.95,72.56,-2.39,0,0,28,0,925,34642072692,887503,"45-54","U","25-34K","Probable Renter","Single Female","1","None/Unknown","MEAT","SMOKED MEATS","PORK-FULLY COOKED"
"729",729,28,6,27.09,23.11,-3.98,0,0,28,0,2657,34642678951,8119129,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CANNED JUICES","APPLE JUICE & CIDER (50% AND U"
"757",757,29,0,0,0,0,0,0,28,0,22826,35146056133,849202,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BEERS/ALES","BEERALEMALT LIQUORS"
"785",785,30,0,0,0,0,0,0,28,0,18382,35081060784,822178,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BAKED BREAD/BUNS/ROLLS","HOT DOG BUNS"
"813",813,31,0,0,0,0,0,0,28,0,7049,34762211735,819927,"35-44","B","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","PASTA SAUCE","MAINSTREAM"
"841",841,32,10,32.97,23.57,-9.4,0,1,28,0,7838,34762552101,997746,NA,NA,NA,NA,NA,NA,NA,"GROCERY","DRY BN/VEG/POTATO/RICE","MISC GRAIN MIXES"
"869",869,33,0,0,0,0,0,0,28,0,73866,40127108285,820122,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","BACON","ECONOMY"
"897",897,34,0,0,0,0,0,0,28,0,5070,34748966315,916381,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL"
"925",925,35,0,0,0,0,0,0,28,0,231,34641751505,833648,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","TEA CAN WITH SWEETENER/SUGAR"
"953",953,36,61,197.64,174.08,-23.56,0,0,28,0,1397,34642176615,820301,NA,NA,NA,NA,NA,NA,NA,"GROCERY","WATER - CARBONATED/FLVRD DRINK","NON-CARB FLVRD DRNKNG/MNRL WAT"
"981",981,37,0,0,0,0,0,0,28,1,45689,35714103614,898869,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BAG SNACKS","BAGGED CHEESE SNACKS"
"1009",1009,38,0,0,0,0,0,0,28,0,52899,35866027196,923169,NA,NA,NA,NA,NA,NA,NA,"GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE JUICE DRNK UNDER 10"
"1037",1037,39,0,0,0,0,0,0,28,0,2885,34642770509,833409,"35-44","A","125-149K","Homeowner","2 Adults No Kids","2","None/Unknown","SPIRITS","LIQUOR","LIQUEURS/SPECIALTIES (42 UNDER"
"1065",1065,40,27,95.49,82.15,-13.34,0,1,28,1,2028,34642487880,825494,"45-54","U","Under 15K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","FRZN VEGETABLE/VEG DSH","FRZN BAGGED VEGETABLES - PLAIN"
"1093",1093,41,45,122.52,102.01,-20.51,0,0,28,0,3489,34664653881,844740,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SEAFOOD - SHELF STABLE","TUNA"
"1121",1121,42,22,39.95,32.36,-7.59,0,1,28,0,10665,34837675594,896369,"65+","U","50-74K","Unknown","Single Male","1","None/Unknown","GROCERY","PNT BTR/JELLY/JAMS","PEANUT BUTTER"
"1149",1149,43,0,0,0,0,0,0,28,0,2919,34642783354,844165,"35-44","B","15-24K","Homeowner","2 Adults Kids","5+","3+","GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL"
"1177",1177,44,0,0,0,0,0,0,28,0,4777,34665043395,836445,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","MEAT - MISC","WINGS (IQF)"
"1205",1205,45,0,0,0,0,0,0,28,0,13027,34851056566,939546,NA,NA,NA,NA,NA,NA,NA,"GROCERY","LAUNDRY DETERGENTS","LIQUID LAUNDRY DETERGENTS"
"1233",1233,46,17,62.93,56.36,-6.57,0,0,28,1,4261,34664884549,834117,"45-54","A","150-174K","Homeowner","2 Adults Kids","5+","3+","GROCERY","WATER - CARBONATED/FLVRD DRINK","NON-CRBNTD DRNKING/MNERAL WATE"
"1261",1261,47,0,0,0,0,0,0,28,1,9593,34837307333,948665,NA,NA,NA,NA,NA,NA,NA,"GROCERY","VEGETABLES - SHELF STABLE","TOMATOES: STEWED/DICED/CRMD"
"1289",1289,48,0,0,0,0,0,0,28,0,1282,34642146468,826816,"19-24","U","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","FRZN BREAKFAST FOODS","WAFFLES/PANCAKES/FRENCH TOAST"
"1317",1317,49,28,108.77,90.34,-18.43,0,0,28,0,849,34642037549,831808,"35-44","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","DOG FOODS","CAN DOG FOOD (SKIPPY/PEDIGREE/"
"1345",1345,50,0,0,0,0,0,0,28,0,71291,40097705693,830503,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","LUNCHMEAT","HAM"
"1373",1373,51,14,50.87,44.21,-6.66,0,0,28,0,22344,35145930787,830750,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FRZN MEAT/MEAT DINNERS","SS ECONOMY ENTREES/DINNERS ALL"
"1401",1401,52,0,0,0,0,0,0,28,1,3957,34664788324,819890,"45-54","B","50-74K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","DRY MIX DESSERTS","GELATIN"
"1429",1429,53,0,0,0,0,0,0,28,0,5007,34748911139,988116,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CAT LITTER","CONVENTIONAL LITTER"
"1457",1457,55,6,24.91,22.31,-2.6,0,0,28,0,3274,34664542206,1121360,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","CANNED JUICES","CRANBERRY JUICE (50% AND UNDER"
"1485",1485,56,28,63.83,58.38,-5.45,0,0,28,0,5696,34749206293,826571,"55-64","A","100-124K","Homeowner","2 Adults Kids","4","2","GROCERY","CONVENIENT BRKFST/WHLSM SNACKS","GRANOLA BARS"
"1513",1513,57,0,0,0,0,0,0,28,0,4700,34665024446,854852,"45-54","B","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","PRODUCE","TOMATOES","TOMATOES HOTHOUSE ON THE VINE"
"1541",1541,58,7,27.22,25.13,-2.09,0,0,28,0,2297,34642565546,840361,"25-34","A","150-174K","Homeowner","2 Adults Kids","4","2","GROCERY","EGGS","EGGS - LARGE"
"1569",1569,59,0,0,0,0,0,0,28,0,2402,34642611306,850795,NA,NA,NA,NA,NA,NA,NA,"GROCERY","YOGURT","YOGURT NOT MULTI-PACKS"
"1597",1597,60,0,0,0,0,0,0,28,0,278461,42097840889,1073150,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK SNGL SRV BTL CARB (EX"
"1625",1625,61,0,0,0,0,0,0,28,0,260138,41944596105,1030981,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BAKING MIXES","BISCUIT FLOUR & MIXES"
"1653",1653,62,0,0,0,0,0,0,28,0,32183,35469875522,32916,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FLUID MILK PRODUCTS","FLUID MILK WHITE ONLY"
"1681",1681,63,0,0,0,0,0,0,28,0,20252,35144015640,892144,NA,NA,NA,NA,NA,NA,NA,"DELI","DELI MEATS","MEAT: LUNCHMEAT BULK"
"1709",1709,64,20,38.69,36.04,-2.65,0,0,28,0,3413,34664600604,856060,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CANNED JUICES","FRUIT DRINKS: CANNED & GLASS ("
"1737",1737,65,0,0,0,0,0,0,28,0,4839,34748870151,828857,NA,NA,NA,NA,NA,NA,NA,"GROCERY","YOGURT","YOGURT NOT MULTI-PACKS"
"1765",1765,66,0,0,0,0,0,0,28,0,87782,40248610817,995785,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","PEPPERS-ALL","PEPPERS GREEN BELL"
"1793",1793,67,43,100.45,90,-8.15,-2.3,0,28,0,6107,34749362511,859589,"45-54","A","Under 15K","Homeowner","2 Adults Kids","5+","3+","GROCERY","SALD DRSNG/SNDWCH SPRD","POURABLE SALAD DRESSINGS"
"1821",1821,68,0,0,0,0,0,0,28,0,579,34641877565,1085604,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK SNGL SRV BTL CARB (EX"
"1849",1849,69,7,11.64,11.64,0,0,0,28,0,107,34641712943,830503,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","LUNCHMEAT","HAM"
"1877",1877,71,3,8.87,8.17,-0.7,0,0,28,0,11197,34850362273,844179,"35-44","A","25-34K","Homeowner","Single Female","2","None/Unknown","MEAT","BEEF","PRIMAL"
"1905",1905,72,0,0,0,0,0,0,28,0,3199,34664516304,825343,NA,NA,NA,NA,NA,NA,NA,"MEAT","BEEF","CHOICE BEEF"
"1933",1933,73,0,0,0,0,0,0,28,0,86,34641709411,969836,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","LUNCHMEAT","LUNCH COMBO"
"1961",1961,74,0,0,0,0,0,0,28,0,2083,34642500921,831390,"65+","A","15-24K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD DOUGH PRODUCTS","REFRIGERATED BISCUITS REGULAR"
"1989",1989,75,0,0,0,0,0,0,28,0,6529,34760565780,459074,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK SNGL SRV BTL CARB (EX"
"2017",2017,76,0,0,0,0,0,0,28,0,137638,40680705446,965530,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FLUID MILK PRODUCTS","REFRIGERATED COFFEE CREAMERS"
"2045",2045,77,59,158.91,131.34,-27.57,0,1,28,0,13575,34851282082,1003188,"35-44","A","100-124K","Homeowner","2 Adults Kids","5+","3+","GROCERY","CANNED JUICES","APPLE JUICE & CIDER (OVER 50%"
"2073",2073,78,24,51.53,48.35,-3.18,0,0,28,1,5842,34749215842,849843,"55-64","U","25-34K","Unknown","Single Male","1","None/Unknown","GROCERY","BAKED BREAD/BUNS/ROLLS","MAINSTREAM WHEAT/MULTIGRAIN BR"
"2101",2101,79,1,1.93,1.59,-0.34,0,0,28,0,5336,34749096273,944167,NA,NA,NA,NA,NA,NA,NA,"NUTRITION","FITNESS&DIET","FITNESS&DIET - BARS"
"2129",2129,80,0,0,0,0,0,0,28,0,10345,34837577984,822985,"45-54","U","50-74K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","FRUIT - SHELF STABLE","FRUIT BOWL AND CUPS"
"2157",2157,81,5,11.56,10.47,-1.09,0,0,28,0,25940,35333732346,840601,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL"
"2185",2185,82,0,0,0,0,0,0,28,0,8923,34812141896,819308,NA,NA,NA,NA,NA,NA,NA,"MEAT","BEEF","CHOICE BEEF"
"2213",2213,83,5,9.01,9.01,0,0,0,28,0,609,34641915367,841309,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","CITRUS","LEMONS"
"2241",2241,84,0,0,0,0,0,0,28,0,324,34641811323,10356272,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BLEACH","SOIL & STAIN REMOVER"
"2269",2269,85,24,88.63,73.49,-15.14,0,0,28,0,25626,35293976450,952893,"25-34","U","35-49K","Unknown","Single Male","1","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE FRUIT DRINKS (NO JU"
"2297",2297,86,0,0,0,0,0,0,28,0,42269,35688532627,825665,"65+","B","35-49K","Homeowner","Single Male","1","None/Unknown","GROCERY","COOKIES/CONES","GRAHAM CRACKERS"
"2325",2325,87,0,0,0,0,0,0,28,0,18431,35081086834,913116,NA,NA,NA,NA,NA,NA,NA,"NUTRITION","FROZEN","FROZEN MEAT (VEGETARIAN)"
"2353",2353,88,38,91.66,77.96,-12.95,-0.75,0,28,0,5710,34749212286,825006,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","APPLES","APPLES RED DELICIOUS (BULK&BAG"
"2381",2381,90,0,0,0,0,0,0,28,0,114954,40496874661,848561,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","LUNCHMEAT","POULTRY"
"2409",2409,91,21,40.26,34.59,-5.67,0,0,28,1,2016,34642469247,910151,NA,NA,NA,NA,NA,NA,NA,"GROCERY","ICE CREAM/MILK/SHERBTS","PREMIUM PINTS"
"2437",2437,92,0,0,0,0,0,0,28,0,12746,34850937008,822115,NA,NA,NA,NA,NA,NA,NA,"GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE OTH"
"2465",2465,93,0,0,0,0,0,0,28,0,1671,34642341520,847982,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","SALAD MIX","REGULAR GARDEN"
"2493",2493,94,2,2.07,2.07,0,0,1,28,0,31457,35464130183,1043301,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","ONIONS","ONIONS WHITE (BULK&BAG)"
"2521",2521,95,12,62.02,45.48,-16.54,0,0,28,1,2906,34642775537,849843,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BAKED BREAD/BUNS/ROLLS","MAINSTREAM WHEAT/MULTIGRAIN BR"
"2549",2549,97,0,0,0,0,0,0,28,0,15169,35000560748,833025,"45-54","U","75-99K","Unknown","Single Female","1","None/Unknown","GROCERY","MILK BY-PRODUCTS","SOUR CREAMS"
"2577",2577,98,15,31.55,27.11,-4.44,0,0,28,0,29311,35463212309,853197,"35-44","U","35-49K","Unknown","1 Adult Kids","2","1","GROCERY","BAKED BREAD/BUNS/ROLLS","RYE BREADS"
"2605",2605,99,19,62.11,57.33,-4.78,0,0,28,0,5032,34748927893,1029743,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FLUID MILK PRODUCTS","FLUID MILK WHITE ONLY"
"2633",2633,100,0,0,0,0,0,0,28,0,64962,40050221977,828713,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CONVENIENT BRKFST/WHLSM SNACKS","GRANOLA BARS"
"2661",2661,101,37,208.84,154.02,-54.82,0,0,28,0,15668,35000800766,882138,"45-54","A","Under 15K","Homeowner","2 Adults Kids","4","2","GROCERY","VEGETABLES - SHELF STABLE","BEANS GREEN: FS/WHL/CUT"
"2689",2689,103,0,0,0,0,0,0,28,0,29058,35412959513,879755,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK SNGL SRV BTL CARB (EX"
"2717",2717,104,7,10.25,10.13,-0.12,0,0,28,0,26726,35333998205,819400,"35-44","A","35-49K","Homeowner","2 Adults Kids","5+","3+","GROCERY","DOG FOODS","DOG TREATS (SOFT TREATS)"
"2745",2745,105,51,143.16,123.71,-19.45,0,0,28,1,8951,34812165381,889731,"25-34","B","Under 15K","Homeowner","1 Adult Kids","3","2","GROCERY","BAKED BREAD/BUNS/ROLLS","MAINSTREAM WHEAT/MULTIGRAIN BR"
"2773",2773,106,10,33.83,28.15,-5.68,0,0,28,0,27191,35386322021,858702,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SPICES & EXTRACTS","SPICES & SEASONINGS"
"2801",2801,107,0,0,0,0,0,0,28,0,90662,40279479035,842140,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CHEESE","SHREDDED CHEESE"
"2829",2829,108,0,0,0,0,0,0,28,0,49828,35841015530,1038663,NA,NA,NA,NA,NA,NA,NA,"MEAT","BEEF","LEAN"
"2857",2857,109,31,69.16,61.67,-7.49,0,0,28,0,1906,34642452027,832001,"25-34","A","15-24K","Homeowner","Single Female","2","None/Unknown","PRODUCE","MUSHROOMS","MUSHROOMS PORTABELLA"
"2885",2885,110,0,0,0,0,0,0,28,0,3470,34664642333,834484,"25-34","U","35-49K","Homeowner","Single Female","1","None/Unknown","PRODUCE","ONIONS","ONIONS OTHER"
"2913",2913,111,0,0,0,0,0,0,28,0,67852,40073021845,820165,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","CITRUS","ORANGES NAVELS ALL"
"2941",2941,112,0,0,0,0,0,0,28,0,23635,35218913840,7139529,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CONDIMENTS/SAUCES","BBQ SAUCE"
"2969",2969,113,9,23.17,21.31,-1.86,0,0,28,0,687,34641971384,824758,"35-44","A","125-149K","Homeowner","2 Adults Kids","4","2","GROCERY","COLD CEREAL","ALL FAMILY CEREAL"
"2997",2997,114,0,0,0,0,0,0,28,0,15922,35000856317,949983,"25-34","U","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","CONVENIENT BRKFST/WHLSM SNACKS","TOASTER PASTRIES"
"3025",3025,115,84,285.85,250.06,-31.19,-4.6,1,28,0,7363,34762302869,910032,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","HOT DOGS","PREMIUM - MEAT"
"3053",3053,116,5,14.43,10.31,-4.12,0,0,28,0,1468,34642213633,856772,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BAKED SWEET GOODS","SNACK CAKE - MULTI PACK"
"3081",3081,117,10,28,23.02,-4.98,0,1,28,0,6551,34762000340,840361,"65+","B","35-49K","Probable Owner","2 Adults No Kids","2","None/Unknown","GROCERY","EGGS","EGGS - LARGE"
"3109",3109,118,55,112.5,102.93,-9.57,0,1,28,0,11703,34850573533,820518,"45-54","B","35-49K","Homeowner","Single Female","1","None/Unknown","PRODUCE","ORGANICS FRUIT & VEGETABLES","ORGANIC BERRIES"
"3137",3137,119,0,0,0,0,0,0,28,1,8389,34811947662,862535,"45-54","U","125-149K","Unknown","Single Male","1","None/Unknown","GROCERY","COLD CEREAL","ALL FAMILY CEREAL"
"3165",3165,120,0,0,0,0,0,0,28,0,213540,41519130681,1082311,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOUP","RTS SOUP: CHUNKY/HOMESTYLE ET"
"3193",3193,121,0,0,0,0,0,0,28,0,7286,34762251794,835788,"45-54","U","25-34K","Unknown","2 Adults Kids","3","1","GROCERY","FRZN MEAT/MEAT DINNERS","SS ECONOMY ENTREES/DINNERS ALL"
"3221",3221,122,0,0,0,0,0,0,28,0,1714,34642395161,860248,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BEERS/ALES","BEERALEMALT LIQUORS"
"3249",3249,123,0,0,0,0,0,0,28,1,5986,34749266474,916122,"45-54","B","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","MEAT","CHICKEN","CHICKEN BREAST BONELESS"
"3277",3277,124,0,0,0,0,0,0,28,0,14965,34873488064,834117,NA,NA,NA,NA,NA,NA,NA,"GROCERY","WATER - CARBONATED/FLVRD DRINK","NON-CRBNTD DRNKING/MNERAL WATE"
"3305",3305,125,49,125.62,107.19,-18.43,0,1,28,0,467,34641839539,823704,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","BREAKFAST SAUSAGE/SANDWICHES","ROLLS - PORK"
"3333",3333,126,58,181.09,150.76,-30.33,0,1,28,0,10725,34837700772,907128,NA,NA,NA,NA,NA,NA,NA,"GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE CITRUS PNCH/OJ SUBS"
"3361",3361,127,2,7.39,5.98,-1.41,0,0,28,0,9031,34812171363,896613,"45-54","U","25-34K","Unknown","Single Female","1","None/Unknown","MEAT","CHICKEN","WHOLE CHICKEN (ROASTERS/FRYER)"
"3389",3389,128,42,97.56,88.56,-9,0,1,28,0,3507,34664661865,857503,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","CARROTS","CARROTS MINI PEELED"
"3417",3417,129,0,0,0,0,0,0,28,0,62,34641696663,878996,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","GRAPES","GRAPES RED"
"3445",3445,131,34,98.24,82.88,-15.36,0,0,28,0,22340,35145919405,911974,"45-54","U","50-74K","Unknown","2 Adults No Kids","2","None/Unknown","GROCERY","CANNED JUICES","BLENDED JUICE&COMBINATIONS (OV"
"3473",3473,132,4,22.03,16.64,-5.39,0,0,28,1,4277,34664886187,1013999,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","FROZEN MEAT","FRZN BREADED PREPARED CHICK"
"3501",3501,133,17,105.38,83.63,-21.75,0,0,28,0,13398,34851227769,870780,"45-54","A","Under 15K","Homeowner","Single Male","2","None/Unknown","GROCERY","YOGURT","YOGURT NOT MULTI-PACKS"
"3529",3529,134,0,0,0,0,0,0,28,0,19743,35143832290,838186,"55-64","A","25-34K","Homeowner","Single Female","2","None/Unknown","GROCERY","BAKED SWEET GOODS","SW GDS:DONUTS"
"3557",3557,135,13,48.98,42.82,-6.16,0,0,28,1,10236,34837521294,903350,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FD WRAPS/BAGS/TRSH BG","SANDWICH BAGS"
"3585",3585,136,0,0,0,0,0,0,28,0,13010,34851055670,868764,"45-54","U","50-74K","Unknown","Unknown","1","None/Unknown","GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL"
"3613",3613,137,0,0,0,0,0,0,28,0,151584,40800917604,883404,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BAKED BREAD/BUNS/ROLLS","MAINSTREAM WHITE BREAD"
"3641",3641,138,0,0,0,0,0,0,28,0,1478,34642217111,832828,NA,NA,NA,NA,NA,NA,NA,"GROCERY","DRY NOODLES/PASTA","NOODLES DRY"
"3669",3669,139,1,0.5,0.5,0,0,0,28,0,820,34642022339,1082185,"35-44","B","75-99K","Homeowner","Single Male","1","None/Unknown","PRODUCE","TROPICAL FRUIT","BANANAS"
"3697",3697,140,0,0,0,0,0,0,28,0,5073,34748966545,857981,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FROZEN PIZZA","SNACKS/APPETIZERS"
"3725",3725,141,17,27.69,24.92,-2.77,0,0,28,0,4415,34664916996,947875,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FRZN MEAT/MEAT DINNERS","FRZN MEAT ALTERNATIVES"
