"","household_key","DAY","QUANTITY","BASE_SPEND_AMT","NET_SPEND_AMT","LOY_CARD_DISC","COUPON_DISC","GET_EGGS"
"37",275,0,11,37.23,28.2,-9.03,0,0
"38",290,0,25,41.95,32.45,-9.5,0,0
"39",294,0,12,36.17,27.15,-9.02,0,0
"40",300,0,47,120.81,108.23,-12.58,0,0
"41",302,0,3,9.19,9.08,-0.11,0,0
"42",328,0,19,56.54,51.21,-5.33,0,0
"43",330,0,7,12.21,11.26,-0.95,0,0
"44",354,0,3,27.47,27.47,0,0,0
"45",358,0,4,21.13,19.06,-2.07,0,0
"46",367,0,32,80.2,64.62,-15.23,-0.35,0
"47",376,0,7,28.88,24.71,-4.17,0,0
"48",378,0,1,1.59,1.29,-0.3,0,0
"49",380,0,12,65.8,58.33,-7.47,0,0
"50",396,0,22,52.62,44.1,-8.52,0,0
"51",397,0,5,27.21,23.35,-3.86,0,0
"52",408,0,3,14.58,14.36,-0.22,0,0
"53",435,0,30,41.8,32.9,-8.9,0,0
"54",441,0,21,60.02,54.02,-6,0,0
"55",445,0,1,2.49,2.49,0,0,0
"56",463,0,4,16.28,16.28,0,0,0
"57",464,0,24,59.58,50.91,-8.67,0,1
"58",467,0,4,6.06,5.16,-0.9,0,0
"59",468,0,32,54.52,47.48,-7.04,0,0
"60",470,0,24,50.84,44.51,-6.33,0,0
"61",479,0,3,11.16,11.16,0,0,0
"62",485,0,1,3.31,2.59,-0.72,0,0
"63",493,0,5,9.99,8.33,-1.66,0,0
"64",509,0,1,14.99,14.99,0,0,0
"65",511,0,2,4.69,3.7,-0.99,0,0
"66",523,0,7,13.11,12.26,-0.85,0,0
"67",527,0,6,23.55,21.4,-2.15,0,0
"68",566,0,1,0.6,0.6,0,0,0
"69",568,0,9,34.01,34.01,0,0,0
"70",569,0,6,22.79,19.74,-3.05,0,0
"71",575,0,18,21.48,15.78,-5.7,0,0
"72",591,0,15,69.3,61.17,-8.13,0,1
"73",597,0,23,38.4,33.11,-5.29,0,0
"74",598,0,9,26.32,22.21,-2.56,-1.55,0
"75",609,0,29,60.32,48.92,-11.4,0,1
"76",622,0,8,34.01,29.22,-4.79,0,0
"77",624,0,33,115.62,84.06,-31.56,0,0
"78",630,0,41,104.41,84.03,-19.83,-0.55,0
"79",636,0,24,48.19,44,-4.19,0,0
"80",641,0,4,9.9,9.9,0,0,0
"81",656,0,113,354.69,300.98,-53.71,0,1
"82",663,0,23,67.55,47.29,-20.26,0,0
"83",670,0,1,8.99,8.99,0,0,0
"84",671,0,3,24.37,23.97,-0.4,0,0
"85",674,0,156,448.64,398.31,-50.33,0,0
"86",676,0,25,34.36,28.08,-6.28,0,0
"87",680,0,22,58.37,49.24,-9.13,0,0
"88",682,0,2,4.55,4.42,-0.13,0,0
"89",685,0,6,13.53,11.75,-1.78,0,0
"90",691,0,17,55.4,46.73,-8.67,0,1
"91",692,0,8,20.34,19.66,-0.68,0,1
"92",693,0,2,4.57,3.48,-1.09,0,0
"93",696,0,4,11.34,8.46,-2.88,0,0
"94",702,0,23,48.84,42.92,-5.92,0,0
"95",712,0,21,125.83,97.55,-28.28,0,0
"96",718,0,24,56.42,45.93,-9.94,-0.55,0
"97",738,0,45,66.88,57.6,-9.28,0,0
"98",742,0,18,44.9,35.26,-9.64,0,0
"99",761,0,9,24.36,17.18,-7.18,0,0
"100",762,0,1,3,3,0,0,0
"101",764,0,17,75.41,64.08,-11.33,0,1
"102",771,0,4,12.75,9.44,-3.31,0,0
"103",800,0,4,16.91,15.42,-1.49,0,0
"104",803,0,11,34.64,29.49,-5.15,0,0
"105",804,0,3,6.98,4.99,-1.99,0,0
"106",805,0,15,41.63,28.94,-12.69,0,0
"107",815,0,1,10.77,7.81,-2.96,0,0
"108",828,0,6,10.19,8.95,-1.24,0,0
"109",842,0,3,6.1,4.76,-1.34,0,0
"110",846,0,14,40.77,36.23,-4.54,0,0
"111",852,0,11,36.23,33.64,-2.59,0,0
"112",853,0,3,16.87,16.87,0,0,0
"113",857,0,40,84.28,74.47,-9.81,0,1
"114",863,0,21,38.33,29.97,-8.36,0,0
"115",867,0,8,19.4,16.68,-2.72,0,0
"116",869,0,5,10.92,10.7,-0.22,0,0
"117",875,0,4,14.32,9.16,-5.16,0,0
"118",895,0,4,12.65,10.96,-1.69,0,0
"119",898,0,9,33.85,31.49,-2.36,0,0
"120",900,0,2,2.69,2.19,-0.5,0,0
"121",901,0,65,156.86,122.99,-33.87,0,1
"122",903,0,5,11.51,11.51,0,0,0
"123",906,0,7,32.93,29.73,-3.2,0,0
"124",908,0,6,31.35,27.91,-3.44,0,0
"125",909,0,31,132.31,122.39,-9.92,0,0
"126",933,0,58,113.4,94,-19.4,0,0
"127",936,0,34,66.28,55.64,-10.64,0,0
"128",941,0,3,13.65,13.65,0,0,0
"129",943,0,65,169.65,141.19,-28.46,0,0
"130",956,0,4,11.7,10.11,-1.59,0,0
"131",957,0,3,9.27,8.27,-1,0,0
"132",972,0,2,7.98,7.98,0,0,0
"133",975,0,2,8.88,7.44,-1.44,0,0
"134",981,0,23,68.61,58.49,-10.12,0,1
"135",984,0,4,16.87,14.36,-2.51,0,0
"136",998,0,124,333.64,285.31,-48.33,0,0
"137",999,0,12,42.26,39.43,-2.28,-0.55,0
"138",8,1,23,57.29,48.02,-9.27,0,0
"139",9,1,65,145,114,-29.9,-1.1,0
"140",15,1,1,2.7,1.85,-0.85,0,0
"141",20,1,5,11.07,9.37,-1.7,0,0
"142",22,1,21,53.23,50.17,-1.06,-2,0
"143",27,1,4,9.24,9.24,0,0,0
"144",28,1,2,7.87,6.58,-1.29,0,0
"145",39,1,27,113.54,98.21,-15.33,0,0
"146",40,1,14,31.07,29.04,-2.03,0,0
"147",43,1,3,15.07,10.97,-4.1,0,0
"148",58,1,7,20.65,16.46,-4.19,0,1
"149",59,1,13,121.89,90.86,-31.03,0,0
"150",68,1,26,52.71,46.73,-5.98,0,1
"151",69,1,58,184.51,153.45,-31.06,0,1
"152",74,1,25,46.52,38.23,-8.29,0,0
"153",91,1,6,21.75,18.06,-3.69,0,0
"154",93,1,6,15.77,13.92,-1.85,0,0
"155",95,1,15,32.28,24.46,-7.82,0,0
"156",109,1,41,107.98,95.59,-12.39,0,1
"157",122,1,1,7.99,7.99,0,0,0
"158",125,1,5,23.46,16.67,-6.79,0,0
"159",143,1,15,40.89,33.42,-7.47,0,0
"160",147,1,20,51.76,36.97,-14.79,0,0
"161",161,1,26,55.44,45.4,-10.04,0,0
"162",162,1,23,80.63,73.51,-7.12,0,1
"163",165,1,3,7.74,5.37,-2.37,0,0
"164",185,1,58,182.79,145.71,-37.08,0,0
"165",200,1,1,1.29,1.29,0,0,0
"166",216,1,6,16.3,14.14,-2.16,0,0
"167",219,1,7,40.89,33.69,-7.2,0,0
"168",220,1,23,59.2,50,-9.2,0,0
"169",228,1,1,6.24,4.99,-1.25,0,0
"170",232,1,8,18.51,15.62,-2.89,0,1
"171",239,1,8,22.21,17.19,-3.52,-1.5,0
"172",243,1,3,6.22,5.58,-0.64,0,0
"173",259,1,9,41.11,36.93,-4.18,0,0
"174",281,1,5,12.87,10.87,-2,0,0
"175",285,1,16,57.69,48.61,-9.08,0,1
"176",289,1,10,32.29,24.93,-7.36,0,0
"177",303,1,15,50.14,43.39,-6.75,0,0
"178",307,1,26,49.21,43.09,-6.12,0,0
"179",321,1,3,7.77,6.87,-0.9,0,0
"180",328,1,28,82.08,74.24,-7.84,0,0
"181",330,1,6,16.74,15.24,-1.5,0,0
"182",331,1,14,32.8,25.9,-6.9,0,0
"183",337,1,4,15.66,13.32,-2.34,0,0
"184",342,1,1,2.29,2.29,0,0,0
"185",346,1,32,72.48,59.76,-12.72,0,1
"186",354,1,1,1.59,1.29,-0.3,0,0
"187",358,1,12,36.86,32.79,-4.07,0,0
"188",370,1,10,22.75,17.22,-5.53,0,0
"189",387,1,1,11.99,11.99,0,0,0
"190",393,1,27,67.78,52.57,-15.21,0,0
"191",400,1,12,51.07,48.24,-2.83,0,1
"192",403,1,5,22.82,18.94,-3.88,0,0
"193",404,1,2,15.47,14.98,-0.49,0,0
"194",412,1,16,26.44,21.7,-4.74,0,0
"195",414,1,18,52.2,43.54,-7.56,-1.1,0
"196",425,1,51,126.14,102.91,-23.23,0,1
"197",426,1,27,87.9,73.58,-14.32,0,0
"198",432,1,3,2.18,2.18,0,0,0
"199",450,1,15,24.58,18.96,-5.62,0,0
"200",463,1,1,2.45,2.45,0,0,0
"201",468,1,5,11.82,9.85,-1.97,0,0
"202",476,1,53,138.7,123.73,-14.97,0,0
"203",480,1,21,82.21,69.64,-12.57,0,1
"204",493,1,13,44.95,42.66,-2.29,0,0
"205",510,1,5,14.02,12.25,-1.77,0,0
"206",524,1,11,55.71,43.18,-12.53,0,1
"207",543,1,27,60.45,55.37,-5.08,0,0
"208",564,1,1,3.59,3.59,0,0,0
"209",569,1,2,7.18,7.18,0,0,0
"210",575,1,35,113.29,97.17,-16.12,0,0
"211",581,1,7,17.5,17.2,-0.3,0,0
"212",591,1,4,17.98,13.86,-4.12,0,0
"213",596,1,13,46.13,39.3,-6.83,0,0
"214",614,1,1,1.59,1.29,-0.3,0,0
"215",618,1,24,78.46,61.62,-16.54,-0.3,0
"216",620,1,1,1.89,1.89,0,0,0
"217",622,1,4,27.96,27.96,0,0,0
"218",631,1,10,8.57,8.57,0,0,0
"219",632,1,13,41.41,35.31,-6.1,0,0
"220",633,1,17,49.35,42.79,-6.56,0,0
"221",638,1,3,33.77,33.77,0,0,0
"222",641,1,6,19.94,16.96,-2.98,0,0
"223",649,1,19,40.07,35.74,-4.33,0,0
"224",650,1,5,6.28,5.3,-0.98,0,0
"225",654,1,21,60.97,53.78,-7.19,0,0
"226",661,1,2,10.58,8.98,-1.6,0,0
"227",666,1,2,4.71,3.98,-0.73,0,0
"228",669,1,35,146.8,135.25,-11.55,0,0
"229",679,1,1,1.99,1.99,0,0,0
"230",685,1,18,43.29,36.13,-7.16,0,2
"231",707,1,21,108.56,98.39,-10.17,0,1
"232",710,1,9,34.82,29.42,-5.4,0,0
"233",712,1,7,29.8,28.8,-1,0,0
"234",720,1,4,27.49,26.73,-0.76,0,0
"235",722,1,1,2.58,1.79,-0.79,0,0
"236",728,1,14,77.26,67.18,-10.08,0,0
"237",736,1,13,20.68,17.71,-2.97,0,0
"238",737,1,7,42.83,40.56,-2.27,0,0
"239",740,1,23,80.65,70.15,-10.5,0,1
"240",744,1,1,9.4,7.83,-1.57,0,0
"241",745,1,26,76.78,67.09,-9.69,0,1
"242",755,1,4,23.95,20.51,-3.44,0,0
"243",762,1,4,6.16,6.16,0,0,0
"244",768,1,44,59.56,50.33,-9.23,0,0
"245",804,1,12,18.71,15.3,-3.41,0,0
"246",806,1,66,192.38,174.16,-18.22,0,1
"247",817,1,2,15.8,10.78,-5.02,0,0
"248",820,1,1,1.59,1.29,-0.3,0,0
"249",840,1,19,92.7,88.84,-3.86,0,0
"250",845,1,3,8.52,6.73,-1.79,0,0
"251",853,1,15,50.46,48.69,-1.77,0,0
"252",862,1,4,31.64,23.66,-7.98,0,0
"253",863,1,24,53.35,45.68,-7.67,0,0
"254",864,1,38,128.63,118.52,-10.11,0,0
"255",868,1,57,197.48,168.75,-28.73,0,0
"256",876,1,10,46.36,45.03,-1.33,0,0
"257",879,1,6,15.82,14.74,-1.08,0,0
"258",881,1,5,7.36,6.51,-0.85,0,0
"259",890,1,8,27.23,26.82,-0.41,0,0
"260",896,1,30,107.68,85.13,-21.55,-1,0
"261",906,1,22,39.28,33.28,-6,0,0
"262",910,1,11,25.66,24.06,-1.6,0,0
"263",915,1,1,1.89,1.89,0,0,0
"264",918,1,10,35.9,32.84,-3.06,0,0
"265",922,1,4,13.77,10.22,-3.55,0,0
"266",923,1,4,20.94,15.96,-4.98,0,0
"267",926,1,12,18.02,17.53,-0.49,0,0
"268",927,1,15,33.98,31.76,-2.22,0,0
"269",929,1,1,5.58,3.79,-1.79,0,0
"270",934,1,70,186.39,157.12,-29.27,0,0
"271",942,1,2,7.08,7.08,0,0,0
"272",944,1,7,57.53,46.93,-10.6,0,0
"273",954,1,39,196.47,147.47,-49,0,0
"274",976,1,16,39.09,33.74,-5.35,0,0
"275",979,1,7,28.25,22.04,-6.21,0,0
"276",982,1,55,116.74,99.77,-16.97,0,0
"277",992,1,4,16.48,14.98,-1.5,0,0
"278",1,2,3,10.04,8.54,-1.5,0,0
"279",40,2,11,51.84,47.24,-4.6,0,1
"280",41,2,25,52.33,45.95,-6.38,0,0
"281",44,2,6,23.77,19.98,-3.79,0,0
"282",46,2,18,61.73,52.65,-9.08,0,0
"283",48,2,6,16.1,14.74,-1.36,0,0
"284",52,2,94,223.1,203.23,-19.87,0,0
"285",55,2,1,4.89,3.89,-1,0,0
"286",57,2,3,3.12,2.6,-0.52,0,0
"287",64,2,13,22.71,18.06,-4.65,0,0
"288",68,2,4,4.47,3.87,-0.6,0,0
"289",72,2,59,207.67,181.29,-26.38,0,1
"290",83,2,1,1.99,1.99,0,0,0
"291",110,2,21,39.59,36.29,-3.3,0,0
"292",128,2,5,11.55,10.95,-0.6,0,0
"293",132,2,2,5.96,3.98,-1.98,0,0
"294",141,2,3,9.6,8.05,-1.55,0,0
"295",143,2,2,5.48,4.68,-0.8,0,0
"296",158,2,5,13.03,10.09,-2.94,0,0
"297",161,2,20,53.44,43.31,-10.13,0,0
"298",164,2,56,164.21,135.83,-24.73,-3.65,1
"299",195,2,59,191.86,158.44,-33.42,0,0
"300",211,2,3,7.36,5.37,-1.99,0,0
"301",215,2,30,51.39,42.11,-9.28,0,1
"302",216,2,3,15.87,14.57,-1.3,0,0
"303",222,2,40,110.9,93.19,-17.71,0,1
"304",227,2,20,63.02,42.6,-20.42,0,0
"305",249,2,4,7.95,5.58,-2.37,0,0
"306",250,2,34,115.18,100.26,-13.67,-1.25,0
"307",258,2,30,49.77,38.88,-10.89,0,0
"308",263,2,9,27.12,24.46,-2.66,0,1
"309",268,2,7,26.19,20.18,-6.01,0,0
"310",276,2,2,57.4,39.7,-17.7,0,0
"311",278,2,1,5.39,5.39,0,0,0
"312",290,2,15,19.15,15.13,-4.02,0,0
"313",291,2,26,97.05,81.02,-16.03,0,0
"314",293,2,21,67.86,59.95,-7.91,0,0
"315",294,2,3,8.95,6.97,-1.98,0,0
"316",307,2,2,1.18,1.18,0,0,0
"317",319,2,8,23.52,19.95,-3.57,0,0
"318",321,2,10,29.42,24.94,-4.48,0,0
"319",334,2,21,71.99,59.23,-11.76,-1,0
"320",336,2,63,126.72,107.68,-19.04,0,1
"321",343,2,10,28.33,26.88,-1.45,0,0
"322",356,2,9,14.99,12.32,-2.67,0,0
"323",358,2,5,12.48,12.13,-0.35,0,1
"324",361,2,63,160.1,130.7,-29.4,0,1
"325",366,2,11,20.35,16.02,-4.33,0,0
"326",378,2,2,3.26,3.13,-0.13,0,0
"327",380,2,44,140.01,114.3,-25.71,0,0
"328",383,2,19,67.14,58.37,-8.77,0,0
"329",398,2,1,7.99,7.99,0,0,0
"330",400,2,1,2,2,0,0,0
"331",407,2,3,13.94,11.97,-1.97,0,0
"332",408,2,3,25.32,25.32,0,0,0
"333",409,2,2,5.4,3.7,-1.7,0,0
"334",413,2,16,38.32,32.44,-5.88,0,0
"335",418,2,46,141.49,118.04,-23.45,0,0
"336",421,2,26,63.29,50.41,-12.88,0,0
"337",457,2,4,11.88,9.54,-2.34,0,0
"338",463,2,1,2.99,2.99,0,0,0
"339",468,2,19,58.88,41.68,-17.2,0,0
"340",511,2,8,24.01,17.77,-6.24,0,0
"341",513,2,6,17.15,17.15,0,0,0
"342",517,2,4,7.03,6.04,-0.99,0,0
"343",523,2,9,16.66,14.68,-1.98,0,0
"344",534,2,1,1.18,0.99,-0.19,0,0
"345",543,2,4,17.25,16.26,-0.99,0,0
"346",546,2,10,32.02,25.49,-6.53,0,0
"347",547,2,3,5.17,4.57,-0.6,0,0
"348",550,2,22,59.59,52.29,-7.3,0,0
"349",553,2,14,26.85,25.16,-1.69,0,0
"350",560,2,4,10.24,9.55,-0.69,0,0
"351",564,2,11,47.37,41.47,-5.9,0,0
"352",568,2,16,28.09,27.1,-0.99,0,0
"353",591,2,1,15.99,15.99,0,0,0
"354",609,2,15,35.96,28.07,-7.89,0,0
"355",647,2,9,56.79,48.33,-8.46,0,0
"356",661,2,3,15.44,14.31,-1.13,0,0
"357",673,2,7,7.1,6.9,-0.2,0,0
"358",675,2,1,7.79,6.99,-0.8,0,0
"359",679,2,33,96.05,88.92,-7.13,0,0
"360",680,2,54,104.5,87.79,-16.71,0,0
"361",684,2,1,3.79,3.79,0,0,0
"362",685,2,2,11.17,11.17,0,0,0
"363",699,2,2,2.58,2.58,0,0,0
"364",701,2,24,91.42,80.8,-10.62,0,0
"365",702,2,8,19.97,15.58,-4.39,0,0
"366",707,2,24,136.82,123.54,-13.28,0,0
"367",710,2,4,22.76,19.16,-3.6,0,0
"368",711,2,1,2.29,2.29,0,0,0
"369",712,2,8,38.8,37.42,-1.38,0,0
"370",714,2,12,32.16,27.19,-4.97,0,0
"371",718,2,27,61.7,54.02,-7.68,0,0
"372",724,2,4,14.14,12.66,-1.48,0,0
"373",727,2,26,101.3,88.02,-13.28,0,1
"374",731,2,32,91.1,71.77,-19.33,0,0
"375",757,2,15,74.17,62.55,-11.62,0,0
"376",762,2,1,2.86,2.86,0,0,0
"377",771,2,17,43.08,36.99,-6.09,0,1
"378",776,2,8,16.22,13.04,-3.18,0,0
"379",786,2,15,78.03,74.55,-3.48,0,0
"380",800,2,25,74.32,63.06,-11.26,0,1
"381",801,2,3,18.57,16.77,-1.8,0,0
"382",803,2,14,34.39,29,-5.39,0,0
"383",809,2,10,25.99,23.52,-2.47,0,0
"384",810,2,6,14.64,13.64,-1,0,0
"385",823,2,25,107.36,93.86,-13.5,0,0
"386",836,2,42,57.3,51.09,-6.21,0,1
"387",845,2,18,64.8,55.95,-8.85,0,0
"388",849,2,19,78.02,70.36,-7.66,0,0
"389",853,2,3,8.08,7.48,-0.6,0,0
"390",859,2,9,30.3,27.67,-2.63,0,0
"391",862,2,32,69.3,60.04,-9.26,0,0
"392",873,2,41,103.71,73.18,-30.53,0,0
"393",876,2,9,25.25,20.78,-4.47,0,0
"394",878,2,25,36.86,31.91,-4.95,0,0
"395",881,2,25,44.27,36.76,-7.51,0,1
"396",883,2,20,37.81,35.71,-2.1,0,0
"397",885,2,2,5.62,5.06,-0.56,0,0
"398",889,2,13,46.24,40.96,-5.28,0,1
"399",891,2,88,217.92,185.69,-31.58,-0.65,0
"400",894,2,71,226.54,199.52,-27.02,0,0
"401",895,2,7,38.34,36.04,-2.3,0,0
"402",911,2,22,55.83,51.2,-4.63,0,0
"403",913,2,2,6.27,5.38,-0.89,0,0
"404",914,2,5,16.73,15.65,-1.08,0,0
"405",919,2,11,32.37,22.53,-9.84,0,0
"406",920,2,8,35.06,26.82,-8.24,0,0
"407",926,2,11,37.84,31.38,-6.46,0,0
"408",928,2,15,65.94,60.13,-5.81,0,1
"409",936,2,11,32.04,26.65,-5.39,0,0
"410",940,2,18,54.06,45.04,-9.02,0,0
"411",941,2,1,1.49,1.49,0,0,0
"412",945,2,24,61.77,58.77,-3,0,1
"413",946,2,1,2.7,1.85,-0.85,0,0
"414",952,2,13,30.18,24.91,-5.27,0,0
"415",955,2,1,1,1,0,0,0
"416",956,2,1,1.59,1.29,-0.3,0,0
"417",957,2,11,41.59,38.52,-3.07,0,0
"418",993,2,21,46.01,41.27,-3.74,-1,0
"419",998,2,2,6.23,5.28,-0.95,0,0
"420",6,3,3,30.26,26.87,-3.39,0,0
"421",14,3,49,143.12,113.47,-29.65,0,1
"422",15,3,13,43.65,34.09,-9.56,0,1
"423",19,3,77,272.86,221.28,-51.58,0,0
"424",20,3,7,15.52,14.33,-1.19,0,0
"425",27,3,5,13.68,12.09,-1.59,0,0
"426",28,3,3,21.47,16.47,-5,0,0
"427",31,3,41,139.89,114.73,-24.36,-0.8,0
"428",34,3,4,11.27,10.56,-0.71,0,0
"429",36,3,5,17.05,13.16,-3.89,0,0
"430",43,3,2,1.98,1.98,0,0,0
"431",44,3,20,70.07,60.85,-9.22,0,0
"432",53,3,3,20.25,19.27,-0.98,0,0
"433",56,3,15,85.21,69.87,-15.34,0,0
"434",58,3,29,107.27,90.51,-16.76,0,0
"435",64,3,6,15.37,13.78,-1.59,0,0
"436",65,3,15,23.85,19.76,-4.09,0,0
"437",67,3,41,179.82,154.61,-25.21,0,1
"438",69,3,7,11.18,9.58,-1.6,0,0
"439",73,3,29,93.79,86.82,-6.97,0,0
"440",75,3,5,5.23,5.23,0,0,0
"441",78,3,12,31.46,23.76,-7.7,0,0
"442",79,3,5,9.06,7.91,-1.15,0,0
"443",88,3,108,304.71,251.71,-50.25,-2.75,1
"444",93,3,8,13.61,11.57,-2.04,0,0
"445",95,3,30,136.78,93.5,-42.28,-1,0
"446",99,3,3,6.96,6.69,-0.27,0,0
"447",122,3,1,1.21,0.99,-0.22,0,0
"448",123,3,5,20.87,14.38,-6.49,0,0
"449",125,3,28,62.63,49.04,-13.59,0,0
"450",140,3,24,59.99,53.06,-6.93,0,0
"451",154,3,17,42.73,34.4,-8.33,0,0
"452",156,3,2,5.27,4.08,-1.19,0,0
"453",161,3,17,49.74,42.01,-7.73,0,0
"454",170,3,17,36.92,31.31,-5.61,0,0
"455",178,3,1,1.79,1.79,0,0,0
"456",182,3,33,91.4,69.54,-21.86,0,0
"457",200,3,4,6.06,5.16,-0.9,0,0
"458",208,3,24,53.75,47.63,-3.77,-2.35,0
"459",217,3,46,106.83,91.79,-15.04,0,1
"460",219,3,18,114.93,98.79,-16.14,0,0
"461",223,3,3,7.26,7.26,0,0,0
"462",230,3,3,6.25,5.29,-0.96,0,0
"463",232,3,3,13.94,11.97,-1.97,0,0
"464",249,3,2,2.99,2.94,-0.05,0,0
"465",263,3,8,18.65,17.51,-1.14,0,0
"466",267,3,8,10.68,10.68,0,0,0
"467",276,3,2,16.51,15.92,-0.59,0,0
"468",287,3,1,1,1,0,0,0
"469",288,3,51,128.79,113.71,-15.08,0,0
"470",292,3,3,9.31,8.81,-0.5,0,0
"471",301,3,6,25.04,21.74,-3.3,0,0
"472",302,3,6,11.58,10.78,-0.8,0,0
"473",303,3,36,122.28,108.97,-13.31,0,0
"474",307,3,4,8.93,7.71,-1.22,0,0
"475",330,3,6,7.48,6.63,-0.85,0,0
"476",376,3,1,1.79,1.79,0,0,0
"477",377,3,13,36,33.6,-2.4,0,0
"478",386,3,46,165.55,130.72,-34.83,0,0
"479",395,3,20,38.95,33.09,-5.86,0,0
"480",403,3,11,20.07,18.67,-1.4,0,0
"481",418,3,8,28.73,23.8,-4.93,0,0
"482",432,3,2,2.9,2.37,-0.53,0,0
"483",443,3,5,27.37,19.55,-7.82,0,0
"484",445,3,5,15.82,13.22,-2.6,0,0
"485",452,3,46,120.44,93.69,-26.75,0,0
"486",456,3,4,22.19,19.96,-2.23,0,0
"487",463,3,6,35.87,31.44,-4.43,0,0
"488",467,3,1,2,2,0,0,0
"489",479,3,14,77.26,56.99,-20.27,0,0
"490",492,3,52,153.94,125.81,-28.13,0,0
"491",493,3,5,11.34,8.95,-2.39,0,0
"492",503,3,3,7.82,6.57,-1.25,0,0
"493",534,3,1,0.59,0.59,0,0,0
"494",553,3,2,13.48,13.48,0,0,0
"495",560,3,8,29.74,23.45,-6.29,0,0
"496",562,3,17,56.04,44.17,-11.87,0,0
"497",563,3,30,71.53,59.48,-12.05,0,0
"498",574,3,18,36.82,28.1,-7.42,-1.3,0
"499",582,3,8,20.62,18.2,-2.42,0,0
"500",591,3,120,326.13,291.75,-34.38,0,1
"501",606,3,5,16.74,15.05,-1.69,0,0
"502",609,3,4,8.58,8.08,-0.5,0,0
"503",621,3,20,41.8,37.45,-4.35,0,0
"504",627,3,9,58.62,49.42,-9.2,0,1
"505",631,3,2,9.78,9.78,0,0,0
"506",636,3,27,56.34,49.55,-5.79,-1,0
"507",641,3,8,24.09,23.92,-0.17,0,0
"508",665,3,5,15.25,14.75,-0.5,0,0
"509",666,3,2,11.78,8.69,-3.09,0,0
"510",670,3,39,104.56,92.56,-11.35,-0.65,0
"511",674,3,6,14.56,11.71,-2.85,0,0
"512",676,3,43,192.08,137.01,-55.07,0,0
"513",677,3,24,67.7,58.21,-8.49,-1,0
"514",697,3,37,103.63,95.84,-6.54,-1.25,0
"515",699,3,44,134.4,123.36,-11.04,0,0
"516",703,3,43,133.4,124.11,-9.29,0,0
"517",707,3,1,2.59,2.59,0,0,0
"518",715,3,8,22.97,17.98,-4.99,0,0
"519",728,3,4,4.92,4.09,-0.83,0,0
"520",740,3,7,27.7,21.56,-6.14,0,0
"521",744,3,9,30.49,26.46,-4.03,0,0
"522",748,3,6,22.38,19.15,-3.23,0,0
"523",760,3,2,16.99,16.99,0,0,0
"524",762,3,50,137.39,118.82,-18.57,0,0
"525",768,3,8,23.36,18.29,-5.07,0,0
"526",777,3,1,1.49,1.49,0,0,0
"527",789,3,1,4.5,3.94,-0.56,0,0
"528",805,3,14,7.6,6.18,-1.42,0,0
"529",825,3,51,155.17,136.04,-18.13,-1,0
"530",831,3,45,132.67,114.12,-18.55,0,0
"531",842,3,11,32.9,26.94,-5.96,0,0
"532",853,3,3,18.87,18.87,0,0,0
"533",856,3,16,60,43.14,-16.86,0,1
"534",866,3,42,140.8,118.65,-22.15,0,1
"535",883,3,26,87.59,81.89,-5.7,0,0
"536",900,3,28,40.75,37.87,-2.88,0,0
"537",908,3,8,23.44,18.65,-4.79,0,0
"538",909,3,18,84.03,71.96,-12.07,0,1
"539",916,3,14,33.34,29.44,-3.9,0,0
"540",920,3,22,54.01,48.96,-5.05,0,0
